Breakdown_ID,Tournament_ID,Platform,Broadcast_Language,Platform_Peak_Viewers,Platform_Hours_Watched_k,Viewer_Share_Pct
VBD_0000047,TN_000011,Twitch,English,459923,21702.89,44.0
VBD_0000048,TN_000011,Twitch,Russian,227110,10716.9,21.7
VBD_0000049,TN_000011,YouTube,Portuguese,181978,8587.23,17.4
VBD_0000050,TN_000011,Twitch,Spanish,84106,3968.82,8.0
VBD_0000051,TN_000011,Chzzk / AfreecaTV,Korean,53010,2501.46,5.1
VBD_0000052,TN_000012,Twitch,English,32893,798.67,45.6
VBD_0000053,TN_000012,Twitch,Russian,16549,401.83,23.0
VBD_0000054,TN_000012,YouTube,Portuguese,11510,279.49,16.0
VBD_0000055,TN_000012,Twitch,Spanish,9293,225.66,12.9
VBD_0000056,TN_000012,Chzzk / AfreecaTV,Korean,4698,114.09,6.5
VBD_0000057,TN_000013,Twitch,English,89658,1616.16,50.7
VBD_0000058,TN_000013,YouTube,English,39372,709.71,22.3
VBD_0000059,TN_000013,Twitch,European,28292,509.99,16.0
VBD_0000060,TN_000013,YouTube,Asian,13429,242.07,7.6
VBD_0000061,TN_000014,Twitch,English,829331,59298.32,52.9
VBD_0000062,TN_000014,YouTube,English,369098,26391.03,23.6
VBD_0000063,TN_000014,Twitch,European,209407,14972.9,13.4
VBD_0000064,TN_000014,YouTube,Asian,125053,8941.45,8.0
VBD_0000065,TN_000015,Twitch,English,1523992,60613.55,36.3
VBD_0000066,TN_000015,YouTube,Vietnamese,1157233,46026.47,27.6
VBD_0000067,TN_000015,YouTube,Korean,853963,33964.56,20.3
VBD_0000068,TN_000015,AfreecaTV / SOOP,Korean,546799,21747.77,13.0
VBD_0000069,TN_000015,Twitch,Spanish,342284,13613.62,8.2
VBD_0000070,TN_000016,YouTube,Indonesian,40482,1451.59,37.9
VBD_0000071,TN_000016,TikTok Live,Southeast Asian,27423,983.32,25.7
VBD_0000072,TN_000016,YouTube,Vietnamese,23287,835.0,21.8
VBD_0000073,TN_000016,Twitch,English,18148,650.75,17.0
VBD_0000074,TN_000016,Facebook Gaming,Portuguese,6401,229.54,6.0
VBD_0000075,TN_000017,YouTube,Indonesian,1902386,74168.66,35.6
VBD_0000076,TN_000017,TikTok Live,Southeast Asian,1299489,50663.44,24.3
VBD_0000077,TN_000017,YouTube,Vietnamese,957243,37320.24,17.9
VBD_0000078,TN_000017,Twitch,English,847834,33054.69,15.9
VBD_0000079,TN_000017,Facebook Gaming,Portuguese,187772,7320.73,3.5
VBD_0000080,TN_000018,Twitch,English,57231,410.55,45.9
VBD_0000081,TN_000018,Twitch,Russian,26733,191.77,21.4
VBD_0000082,TN_000018,YouTube,Portuguese,20102,144.2,16.1
VBD_0000083,TN_000018,Twitch,Spanish,11813,84.75,9.5
VBD_0000084,TN_000018,Chzzk / AfreecaTV,Korean,8210,58.9,6.6
VBD_0000085,TN_000019,Twitch,English,133578,4149.09,47.5
VBD_0000086,TN_000019,YouTube,English,65662,2039.56,23.4
VBD_0000087,TN_000019,Twitch,European,40501,1258.02,14.4
VBD_0000088,TN_000019,YouTube,Asian,28062,871.65,10.0
VBD_0000089,TN_000020,YouTube,Indonesian,441915,13027.82,35.8
VBD_0000090,TN_000020,TikTok Live,Southeast Asian,275032,8108.04,22.3
VBD_0000091,TN_000020,YouTube,Vietnamese,277160,8170.79,22.5
VBD_0000092,TN_000020,Twitch,English,162777,4798.73,13.2
VBD_0000093,TN_000020,Facebook Gaming,Portuguese,72865,2148.11,5.9
VBD_0000094,TN_000021,Twitch,English,671483,43739.44,42.5
VBD_0000095,TN_000021,Twitch,Russian,297719,19392.96,18.8
VBD_0000096,TN_000021,YouTube,Portuguese,310361,20216.47,19.6
VBD_0000097,TN_000021,Twitch,Spanish,125926,8202.68,8.0
VBD_0000098,TN_000021,Chzzk / AfreecaTV,Korean,77051,5019.02,4.9
VBD_0000099,TN_000022,YouTube,Indonesian,2453819,98218.16,33.4
VBD_0000100,TN_000022,TikTok Live,Southeast Asian,1777946,71165.22,24.2
VBD_0000101,TN_000022,YouTube,Vietnamese,1534802,61433.0,20.9
VBD_0000102,TN_000022,Twitch,English,895721,35852.73,12.2
VBD_0000103,TN_000022,Facebook Gaming,Portuguese,468739,18762.06,6.4
VBD_0000104,TN_000023,Twitch,English,138744,6455.02,32.9
VBD_0000105,TN_000023,YouTube,Vietnamese,103631,4821.41,24.6
VBD_0000106,TN_000023,YouTube,Korean,93520,4350.99,22.2
VBD_0000107,TN_000023,AfreecaTV / SOOP,Korean,59611,2773.42,14.1
VBD_0000108,TN_000023,Twitch,Spanish,37205,1730.96,8.8
VBD_0000109,TN_000024,Twitch,English,129216,3829.55,42.2
VBD_0000110,TN_000024,Twitch,Russian,66711,1977.11,21.8
VBD_0000111,TN_000024,YouTube,Portuguese,47296,1401.7,15.5
VBD_0000112,TN_000024,Twitch,Spanish,32532,964.16,10.6
VBD_0000113,TN_000024,Chzzk / AfreecaTV,Korean,12908,382.57,4.2
VBD_0000114,TN_000025,Twitch,English,311044,17219.89,37.4
VBD_0000115,TN_000025,YouTube,Vietnamese,186926,10348.52,22.5
VBD_0000116,TN_000025,YouTube,Korean,143564,7947.92,17.3
VBD_0000117,TN_000025,AfreecaTV / SOOP,Korean,80067,4432.67,9.6
VBD_0000118,TN_000025,Twitch,Spanish,61086,3381.84,7.4
VBD_0000119,TN_000026,Twitch,English,182642,10478.89,47.0
VBD_0000120,TN_000026,Twitch,Russian,79873,4582.65,20.6
VBD_0000121,TN_000026,YouTube,Portuguese,65812,3775.94,16.9
VBD_0000122,TN_000026,Twitch,Spanish,35119,2014.96,9.0
VBD_0000123,TN_000026,Chzzk / AfreecaTV,Korean,22791,1307.63,5.9
VBD_0000124,TN_000027,YouTube,Indonesian,68668,6138.92,36.3
VBD_0000125,TN_000027,TikTok Live,Southeast Asian,42031,3757.64,22.2
VBD_0000126,TN_000027,YouTube,Vietnamese,33229,2970.71,17.6
VBD_0000127,TN_000027,Twitch,English,32726,2925.75,17.3
VBD_0000128,TN_000027,Facebook Gaming,Portuguese,13641,1219.57,7.2
VBD_0000129,TN_000028,Twitch,English,2859319,188466.38,37.1
VBD_0000130,TN_000028,YouTube,Vietnamese,1754609,115651.57,22.8
VBD_0000131,TN_000028,YouTube,Korean,1649048,108693.72,21.4
VBD_0000132,TN_000028,AfreecaTV / SOOP,Korean,920019,60641.27,11.9
VBD_0000133,TN_000028,Twitch,Spanish,522852,34462.8,6.8
VBD_0000134,TN_000029,YouTube,Indonesian,23864,144.14,36.6
VBD_0000135,TN_000029,TikTok Live,Southeast Asian,17067,103.09,26.1
VBD_0000136,TN_000029,YouTube,Vietnamese,14248,86.06,21.8
VBD_0000137,TN_000029,Twitch,English,7850,47.42,12.0
VBD_0000138,TN_000029,Facebook Gaming,Portuguese,3838,23.19,5.9
VBD_0000139,TN_000030,Twitch,English,355673,19057.26,43.1
VBD_0000140,TN_000030,Twitch,Russian,175705,9414.43,21.3
VBD_0000141,TN_000030,YouTube,Portuguese,140660,7536.69,17.0
VBD_0000142,TN_000030,Twitch,Spanish,91207,4886.99,11.0
VBD_0000143,TN_000030,Chzzk / AfreecaTV,Korean,61282,3283.59,7.4
VBD_0000144,TN_000031,Twitch,English,4393795,216734.99,52.6
VBD_0000145,TN_000031,YouTube,English,2066987,101959.37,24.7
VBD_0000146,TN_000031,Twitch,European,1468721,72448.38,17.6
VBD_0000147,TN_000031,YouTube,Asian,683667,33723.6,8.2
VBD_0000148,TN_000032,Twitch,English,190951,8319.94,50.0
VBD_0000149,TN_000032,YouTube,English,105988,4618.03,27.7
VBD_0000150,TN_000032,Twitch,European,49450,2154.62,12.9
VBD_0000151,TN_000032,YouTube,Asian,36170,1575.97,9.5
VBD_0000152,TN_000033,YouTube,Indonesian,57826,454.63,34.4
VBD_0000153,TN_000033,TikTok Live,Southeast Asian,45287,356.05,26.9
VBD_0000154,TN_000033,YouTube,Vietnamese,37685,296.28,22.4
VBD_0000155,TN_000033,Twitch,English,25930,203.87,15.4
VBD_0000156,TN_000033,Facebook Gaming,Portuguese,4433,34.86,2.6
VBD_0000157,TN_000034,YouTube,Indonesian,21083,247.98,36.5
VBD_0000158,TN_000034,TikTok Live,Southeast Asian,12913,151.89,22.4
VBD_0000159,TN_000034,YouTube,Vietnamese,11665,137.21,20.2
VBD_0000160,TN_000034,Twitch,English,9246,108.76,16.0
VBD_0000161,TN_000034,Facebook Gaming,Portuguese,3758,44.21,6.5
VBD_0000162,TN_000035,Twitch,English,66637,964.32,42.4
VBD_0000163,TN_000035,Twitch,Russian,27833,402.79,17.7
VBD_0000164,TN_000035,YouTube,Portuguese,28243,408.71,18.0
VBD_0000165,TN_000035,Twitch,Spanish,13015,188.35,8.3
VBD_0000166,TN_000035,Chzzk / AfreecaTV,Korean,14896,215.57,9.5
VBD_0000167,TN_000036,Twitch,English,4175785,323253.48,42.0
VBD_0000168,TN_000036,Twitch,Russian,1777548,137602.59,17.9
VBD_0000169,TN_000036,YouTube,Portuguese,1511150,116980.3,15.2
VBD_0000170,TN_000036,Twitch,Spanish,709260,54904.87,7.1
VBD_0000171,TN_000036,Chzzk / AfreecaTV,Korean,558527,43236.39,5.6
VBD_0000172,TN_000037,Twitch,English,168125,11690.72,32.9
VBD_0000173,TN_000037,YouTube,Vietnamese,126532,8798.5,24.8
VBD_0000174,TN_000037,YouTube,Korean,99809,6940.3,19.5
VBD_0000175,TN_000037,AfreecaTV / SOOP,Korean,70214,4882.43,13.7
VBD_0000176,TN_000037,Twitch,Spanish,33083,2300.45,6.5
VBD_0000177,TN_000038,Twitch,English,1328036,134158.09,52.0
VBD_0000178,TN_000038,YouTube,English,661004,66774.6,25.9
VBD_0000179,TN_000038,Twitch,European,423418,42773.66,16.6
VBD_0000180,TN_000038,YouTube,Asian,242233,24470.41,9.5
VBD_0000181,TN_000039,Twitch,English,43054,1144.18,47.8
VBD_0000182,TN_000039,YouTube,English,22126,588.02,24.6
VBD_0000183,TN_000039,Twitch,European,14502,385.41,16.1
VBD_0000184,TN_000039,YouTube,Asian,8222,218.52,9.1
VBD_0000185,TN_000040,Twitch,English,118779,1195.16,37.1
VBD_0000186,TN_000040,YouTube,Vietnamese,89167,897.2,27.8
VBD_0000187,TN_000040,YouTube,Korean,59917,602.88,18.7
VBD_0000188,TN_000040,AfreecaTV / SOOP,Korean,45906,461.91,14.3
VBD_0000189,TN_000040,Twitch,Spanish,28927,291.07,9.0
VBD_0000190,TN_000041,Twitch,English,440392,21142.99,48.6
VBD_0000191,TN_000041,YouTube,English,203878,9788.11,22.5
VBD_0000192,TN_000041,Twitch,European,131151,6296.51,14.5
VBD_0000193,TN_000041,YouTube,Asian,71994,3456.4,7.9
VBD_0000194,TN_000042,Twitch,English,833983,54541.25,49.2
VBD_0000195,TN_000042,YouTube,English,430812,28174.46,25.4
VBD_0000196,TN_000042,Twitch,European,239033,15632.4,14.1
VBD_0000197,TN_000042,YouTube,Asian,191412,12518.08,11.3
VBD_0000198,TN_000043,Twitch,English,31471,374.29,52.9
VBD_0000199,TN_000043,YouTube,English,16495,196.18,27.7
VBD_0000200,TN_000043,Twitch,European,9058,107.73,15.2
VBD_0000201,TN_000043,YouTube,Asian,5944,70.7,10.0
VBD_0000202,TN_000044,Twitch,English,92040,525.98,44.2
VBD_0000203,TN_000044,Twitch,Russian,43432,248.2,20.8
VBD_0000204,TN_000044,YouTube,Portuguese,38283,218.78,18.4
VBD_0000205,TN_000044,Twitch,Spanish,26135,149.36,12.5
VBD_0000206,TN_000044,Chzzk / AfreecaTV,Korean,15389,87.94,7.4
VBD_0000207,TN_000045,YouTube,Indonesian,2576909,177164.63,36.4
VBD_0000208,TN_000045,TikTok Live,Southeast Asian,1581257,108712.74,22.4
VBD_0000209,TN_000045,YouTube,Vietnamese,1509524,103780.99,21.3
VBD_0000210,TN_000045,Twitch,English,1134425,77992.64,16.0
VBD_0000211,TN_000045,Facebook Gaming,Portuguese,515600,35447.96,7.3
VBD_0000212,TN_000046,Twitch,English,72359,1334.01,33.0
VBD_0000213,TN_000046,YouTube,Vietnamese,58656,1081.39,26.7
VBD_0000214,TN_000046,YouTube,Korean,44265,816.07,20.2
VBD_0000215,TN_000046,AfreecaTV / SOOP,Korean,30072,554.41,13.7
VBD_0000216,TN_000046,Twitch,Spanish,23039,424.75,10.5
VBD_0000217,TN_000047,Twitch,English,2840440,186428.42,46.6
VBD_0000218,TN_000047,Twitch,Russian,1054939,69239.52,17.3
VBD_0000219,TN_000047,YouTube,Portuguese,1230269,80747.09,20.2
VBD_0000220,TN_000047,Twitch,Spanish,573025,37609.73,9.4
VBD_0000221,TN_000047,Chzzk / AfreecaTV,Korean,588414,38619.77,9.6
VBD_0000222,TN_000048,Twitch,English,149010,1234.57,46.4
VBD_0000223,TN_000048,Twitch,Russian,55022,455.87,17.1
VBD_0000224,TN_000048,YouTube,Portuguese,60904,504.6,19.0
VBD_0000225,TN_000048,Twitch,Spanish,34586,286.55,10.8
VBD_0000226,TN_000048,Chzzk / AfreecaTV,Korean,32062,265.64,10.0
VBD_0000227,TN_000049,Twitch,English,27909,325.32,45.6
VBD_0000228,TN_000049,Twitch,Russian,12217,142.41,20.0
VBD_0000229,TN_000049,YouTube,Portuguese,11764,137.13,19.2
VBD_0000230,TN_000049,Twitch,Spanish,5365,62.54,8.8
VBD_0000231,TN_000049,Chzzk / AfreecaTV,Korean,5290,61.67,8.6
VBD_0000232,TN_000050,Twitch,English,168647,3871.25,43.4
VBD_0000233,TN_000050,Twitch,Russian,84216,1933.16,21.7
VBD_0000234,TN_000050,YouTube,Portuguese,81094,1861.51,20.9
VBD_0000235,TN_000050,Twitch,Spanish,41064,942.63,10.6
VBD_0000236,TN_000050,Chzzk / AfreecaTV,Korean,22768,522.66,5.9
VBD_0000237,TN_000051,Twitch,English,973587,32987.33,36.1
VBD_0000238,TN_000051,YouTube,Vietnamese,678800,22999.28,25.2
VBD_0000239,TN_000051,YouTube,Korean,612420,20750.18,22.7
VBD_0000240,TN_000051,AfreecaTV / SOOP,Korean,391087,13250.92,14.5
VBD_0000241,TN_000051,Twitch,Spanish,247194,8375.5,9.2
VBD_0000242,TN_000052,Twitch,English,150623,2115.88,46.4
VBD_0000243,TN_000052,Twitch,Russian,72306,1015.73,22.3
VBD_0000244,TN_000052,YouTube,Portuguese,49752,698.9,15.3
VBD_0000245,TN_000052,Twitch,Spanish,42154,592.16,13.0
VBD_0000246,TN_000052,Chzzk / AfreecaTV,Korean,30483,428.22,9.4
VBD_0000247,TN_000053,Twitch,English,629295,37987.42,47.7
VBD_0000248,TN_000053,Twitch,Russian,234730,14169.5,17.8
VBD_0000249,TN_000053,YouTube,Portuguese,248474,14999.15,18.8
VBD_0000250,TN_000053,Twitch,Spanish,152999,9235.79,11.6
VBD_0000251,TN_000053,Chzzk / AfreecaTV,Korean,109809,6628.66,8.3
VBD_0000252,TN_000054,YouTube,Indonesian,82957,2287.93,37.5
VBD_0000253,TN_000054,TikTok Live,Southeast Asian,55078,1519.04,24.9
VBD_0000254,TN_000054,YouTube,Vietnamese,48078,1326.0,21.7
VBD_0000255,TN_000054,Twitch,English,37040,1021.56,16.7
VBD_0000256,TN_000054,Facebook Gaming,Portuguese,15123,417.09,6.8
VBD_0000257,TN_000055,Twitch,English,2903461,290125.82,48.3
VBD_0000258,TN_000055,YouTube,English,1602602,160138.6,26.6
VBD_0000259,TN_000055,Twitch,European,758951,75837.53,12.6
VBD_0000260,TN_000055,YouTube,Asian,708053,70751.57,11.8
VBD_0000261,TN_000056,Twitch,English,38807,861.69,44.5
VBD_0000262,TN_000056,Twitch,Russian,18126,402.48,20.8
VBD_0000263,TN_000056,YouTube,Portuguese,17241,382.84,19.8
VBD_0000264,TN_000056,Twitch,Spanish,10667,236.87,12.2
VBD_0000265,TN_000056,Chzzk / AfreecaTV,Korean,3605,80.06,4.1
VBD_0000266,TN_000057,YouTube,Indonesian,457402,25422.11,35.6
VBD_0000267,TN_000057,TikTok Live,Southeast Asian,316951,17615.93,24.7
VBD_0000268,TN_000057,YouTube,Vietnamese,241045,13397.11,18.7
VBD_0000269,TN_000057,Twitch,English,230198,12794.26,17.9
VBD_0000270,TN_000057,Facebook Gaming,Portuguese,73043,4059.73,5.7
VBD_0000271,TN_000058,Twitch,English,522681,16411.21,48.0
VBD_0000272,TN_000058,YouTube,English,276854,8692.7,25.4
VBD_0000273,TN_000058,Twitch,European,135011,4239.11,12.4
VBD_0000274,TN_000058,YouTube,Asian,117804,3698.86,10.8
VBD_0000275,TN_000059,Twitch,English,3201658,126533.51,47.8
VBD_0000276,TN_000059,YouTube,English,1525700,60297.58,22.8
VBD_0000277,TN_000059,Twitch,European,854896,33786.58,12.8
VBD_0000278,TN_000059,YouTube,Asian,611898,24182.98,9.1
VBD_0000279,TN_000060,YouTube,Indonesian,132672,2721.0,34.1
VBD_0000280,TN_000060,TikTok Live,Southeast Asian,99729,2045.36,25.6
VBD_0000281,TN_000060,YouTube,Vietnamese,88797,1821.16,22.8
VBD_0000282,TN_000060,Twitch,English,47874,981.86,12.3
VBD_0000283,TN_000060,Facebook Gaming,Portuguese,29259,600.09,7.5
VBD_0000284,TN_000061,Twitch,English,112128,982.64,36.6
VBD_0000285,TN_000061,YouTube,Vietnamese,72625,636.45,23.7
VBD_0000286,TN_000061,YouTube,Korean,62967,551.82,20.6
VBD_0000287,TN_000061,AfreecaTV / SOOP,Korean,27605,241.92,9.0
VBD_0000288,TN_000061,Twitch,Spanish,27143,237.87,8.9
VBD_0000289,TN_000062,Twitch,English,51061,837.36,34.8
VBD_0000290,TN_000062,YouTube,Vietnamese,37305,611.78,25.4
VBD_0000291,TN_000062,YouTube,Korean,25710,421.63,17.5
VBD_0000292,TN_000062,AfreecaTV / SOOP,Korean,19948,327.13,13.6
VBD_0000293,TN_000062,Twitch,Spanish,14627,239.88,10.0
VBD_0000294,TN_000063,Twitch,English,132888,3157.34,46.5
VBD_0000295,TN_000063,Twitch,Russian,52547,1248.49,18.4
VBD_0000296,TN_000063,YouTube,Portuguese,54549,1296.04,19.1
VBD_0000297,TN_000063,Twitch,Spanish,26041,618.72,9.1
VBD_0000298,TN_000063,Chzzk / AfreecaTV,Korean,17943,426.33,6.3
VBD_0000299,TN_000064,Twitch,English,880622,51879.48,37.8
VBD_0000300,TN_000064,YouTube,Vietnamese,603999,35583.0,25.9
VBD_0000301,TN_000064,YouTube,Korean,535435,31543.73,23.0
VBD_0000302,TN_000064,AfreecaTV / SOOP,Korean,241043,14200.44,10.3
VBD_0000303,TN_000064,Twitch,Spanish,145204,8554.35,6.2
VBD_0000304,TN_000065,Twitch,English,183538,8340.27,48.6
VBD_0000305,TN_000065,YouTube,English,84364,3833.64,22.3
VBD_0000306,TN_000065,Twitch,European,65023,2954.8,17.2
VBD_0000307,TN_000065,YouTube,Asian,42117,1913.91,11.2
VBD_0000308,TN_000066,Twitch,English,1871372,163010.17,50.1
VBD_0000309,TN_000066,YouTube,English,826519,71995.87,22.1
VBD_0000310,TN_000066,Twitch,European,639671,55720.04,17.1
VBD_0000311,TN_000066,YouTube,Asian,310075,27009.81,8.3
VBD_0000312,TN_000067,YouTube,Indonesian,17726,195.52,37.6
VBD_0000313,TN_000067,TikTok Live,Southeast Asian,11037,121.74,23.4
VBD_0000314,TN_000067,YouTube,Vietnamese,8935,98.56,19.0
VBD_0000315,TN_000067,Twitch,English,7483,82.55,15.9
VBD_0000316,TN_000067,Facebook Gaming,Portuguese,1616,17.83,3.4
VBD_0000317,TN_000068,Twitch,English,530251,34001.98,37.6
VBD_0000318,TN_000068,YouTube,Vietnamese,355956,22825.43,25.2
VBD_0000319,TN_000068,YouTube,Korean,306048,19625.12,21.7
VBD_0000320,TN_000068,AfreecaTV / SOOP,Korean,204473,13111.7,14.5
VBD_0000321,TN_000068,Twitch,Spanish,143025,9171.41,10.1
VBD_0000322,TN_000069,YouTube,Indonesian,69290,833.25,35.7
VBD_0000323,TN_000069,TikTok Live,Southeast Asian,51322,617.17,26.5
VBD_0000324,TN_000069,YouTube,Vietnamese,35416,425.9,18.3
VBD_0000325,TN_000069,Twitch,English,31323,376.68,16.1
VBD_0000326,TN_000069,Facebook Gaming,Portuguese,13573,163.23,7.0
VBD_0000327,TN_000070,Twitch,English,368450,9774.08,32.9
VBD_0000328,TN_000070,YouTube,Vietnamese,257085,6819.85,23.0
VBD_0000329,TN_000070,YouTube,Korean,232942,6179.39,20.8
VBD_0000330,TN_000070,AfreecaTV / SOOP,Korean,153984,4084.83,13.8
VBD_0000331,TN_000070,Twitch,Spanish,68182,1808.71,6.1
VBD_0000332,TN_000071,YouTube,Indonesian,31320,386.11,33.9
VBD_0000333,TN_000071,TikTok Live,Southeast Asian,21199,261.35,22.9
VBD_0000334,TN_000071,YouTube,Vietnamese,21125,260.43,22.8
VBD_0000335,TN_000071,Twitch,English,13938,171.84,15.1
VBD_0000336,TN_000071,Facebook Gaming,Portuguese,3623,44.67,3.9
VBD_0000337,TN_000072,Twitch,English,2395961,67189.74,48.6
VBD_0000338,TN_000072,YouTube,English,1231866,34545.11,25.0
VBD_0000339,TN_000072,Twitch,European,755738,21193.11,15.3
VBD_0000340,TN_000072,YouTube,Asian,517993,14526.05,10.5
VBD_0000341,TN_000073,Twitch,English,99706,1424.9,46.6
VBD_0000342,TN_000073,Twitch,Russian,44530,636.38,20.8
VBD_0000343,TN_000073,YouTube,Portuguese,37942,542.23,17.7
VBD_0000344,TN_000073,Twitch,Spanish,21235,303.47,9.9
VBD_0000345,TN_000073,Chzzk / AfreecaTV,Korean,13306,190.16,6.2
VBD_0000346,TN_000074,Twitch,English,43840,507.07,47.2
VBD_0000347,TN_000074,YouTube,English,20587,238.12,22.2
VBD_0000348,TN_000074,Twitch,European,13222,152.93,14.2
VBD_0000349,TN_000074,YouTube,Asian,10104,116.87,10.9
VBD_0000350,TN_000075,Twitch,English,15133,292.29,42.1
VBD_0000351,TN_000075,Twitch,Russian,6974,134.72,19.4
VBD_0000352,TN_000075,YouTube,Portuguese,5669,109.51,15.8
VBD_0000353,TN_000075,Twitch,Spanish,3956,76.42,11.0
VBD_0000354,TN_000075,Chzzk / AfreecaTV,Korean,1837,35.48,5.1
VBD_0000355,TN_000076,YouTube,Indonesian,102523,2097.57,34.4
VBD_0000356,TN_000076,TikTok Live,Southeast Asian,82160,1680.96,27.6
VBD_0000357,TN_000076,YouTube,Vietnamese,63378,1296.68,21.3
VBD_0000358,TN_000076,Twitch,English,51342,1050.44,17.2
VBD_0000359,TN_000076,Facebook Gaming,Portuguese,21632,442.6,7.3
VBD_0000360,TN_000077,Twitch,English,483206,38799.74,48.2
VBD_0000361,TN_000077,YouTube,English,246193,19768.45,24.6
VBD_0000362,TN_000077,Twitch,European,147508,11844.44,14.7
VBD_0000363,TN_000077,YouTube,Asian,70355,5649.32,7.0
VBD_0000364,TN_000078,Twitch,English,40919,423.06,51.6
VBD_0000365,TN_000078,YouTube,English,20325,210.15,25.6
VBD_0000366,TN_000078,Twitch,European,9763,100.95,12.3
VBD_0000367,TN_000078,YouTube,Asian,9063,93.71,11.4
VBD_0000368,TN_000079,YouTube,Indonesian,23329,340.05,32.2
VBD_0000369,TN_000079,TikTok Live,Southeast Asian,18148,264.53,25.1
VBD_0000370,TN_000079,YouTube,Vietnamese,16637,242.51,23.0
VBD_0000371,TN_000079,Twitch,English,11907,173.55,16.5
VBD_0000372,TN_000079,Facebook Gaming,Portuguese,4229,61.65,5.8
VBD_0000373,TN_000080,YouTube,Indonesian,99888,2710.98,34.6
VBD_0000374,TN_000080,TikTok Live,Southeast Asian,79423,2155.57,27.5
VBD_0000375,TN_000080,YouTube,Vietnamese,57641,1564.39,20.0
VBD_0000376,TN_000080,Twitch,English,46076,1250.52,16.0
VBD_0000377,TN_000080,Facebook Gaming,Portuguese,8587,233.06,3.0
VBD_0000378,TN_000081,Twitch,English,30333,661.04,47.8
VBD_0000379,TN_000081,Twitch,Russian,11509,250.81,18.1
VBD_0000380,TN_000081,YouTube,Portuguese,11755,256.18,18.5
VBD_0000381,TN_000081,Twitch,Spanish,6094,132.81,9.6
VBD_0000382,TN_000081,Chzzk / AfreecaTV,Korean,5712,124.49,9.0
VBD_0000383,TN_000082,Twitch,English,57412,469.19,44.3
VBD_0000384,TN_000082,Twitch,Russian,28274,231.07,21.8
