Team_ID,Team_Name,Organization,Country_Name,Country_ISO_Code,Region,Primary_Game_ID,Established_Year
TM_00119,Zenith Club,Zenith Club Org,China,CHN,East Asia,G_18,2020
TM_00120,Infinity Force,Infinity Force Org,Ukraine,UKR,Eastern Europe,G_20,2016
TM_00121,Nova Elite,Nova Elite Org,Sweden,SWE,Europe,G_19,2021
TM_00122,Dynasty Squad,Dynasty Squad Org,Canada,CAN,North America,G_07,2020
TM_00123,Invictus Esports,Invictus Esports Org,Vietnam,VNM,Southeast Asia,G_09,2010
TM_00124,Zenith Legion,Zenith Legion Org,Thailand,THA,Southeast Asia,G_10,2011
TM_00125,Alliance Esports,Alliance Esports Org,Australia,AUS,Oceania,G_16,2019
TM_00126,Phoenix Elite,Phoenix Elite Org,China,CHN,East Asia,G_14,2014
TM_00127,Nova Club,Nova Club Org,South Korea,KOR,East Asia,G_09,2017
TM_00128,Titan Legion,Titan Legion Org,Ukraine,UKR,Eastern Europe,G_16,2015
TM_00129,Dynasty Force,Dynasty Force Org,Ukraine,UKR,Eastern Europe,G_02,2015
TM_00130,Zenith Force,Zenith Force Org,Philippines,PHL,Southeast Asia,G_06,2010
TM_00131,Vanguard Club,Vanguard Club Org,Canada,CAN,North America,G_15,2017
TM_00132,Dynasty Elite,Dynasty Elite Org,Vietnam,VNM,Southeast Asia,G_13,2018
TM_00133,Apex Squad,Apex Squad Org,Japan,JPN,East Asia,G_09,2021
TM_00134,Alliance Gaming,Alliance Gaming Org,Brazil,BRA,South America,G_04,2021
TM_00135,Imperium Esports,Imperium Esports Org,Denmark,DNK,Europe,G_11,2023
TM_00136,Rebellion Esports,Rebellion Esports Org,Thailand,THA,Southeast Asia,G_06,2019
TM_00137,Eclipse Legion,Eclipse Legion Org,Sweden,SWE,Europe,G_14,2023
TM_00138,Valor Team,Valor Team Org,Philippines,PHL,Southeast Asia,G_20,2020
TM_00139,Infinity Warriors,Infinity Warriors Org,United States,USA,North America,G_05,2023
TM_00140,Vanguard Legion,Vanguard Legion Org,Denmark,DNK,Europe,G_18,2015
TM_00141,Solitude Esports,Solitude Esports Org,Brazil,BRA,South America,G_10,2012
TM_00142,Apex Gaming,Apex Gaming Org,Indonesia,IDN,Southeast Asia,G_20,2022
TM_00143,Apex Club,Apex Club Org,Thailand,THA,Southeast Asia,G_04,2010
TM_00144,Titan Clan,Titan Clan Org,Brazil,BRA,South America,G_03,2019
TM_00145,Vanguard Squad,Vanguard Squad Org,Australia,AUS,Oceania,G_12,2019
TM_00146,Rebellion Squad,Rebellion Squad Org,Denmark,DNK,Europe,G_01,2021
TM_00147,Rebellion Clan,Rebellion Clan Org,Brazil,BRA,South America,G_11,2014
TM_00148,Legacy Elite,Legacy Elite Org,Brazil,BRA,South America,G_14,2017
TM_00149,Zenith Gaming,Zenith Gaming Org,Saudi Arabia,SAU,Middle East,G_17,2013
TM_00150,Nova Gaming,Nova Gaming Org,United Kingdom,GBR,Europe,G_20,2013
TM_00151,Valor Esports,Valor Esports Org,Philippines,PHL,Southeast Asia,G_17,2016
TM_00152,Valor Club,Valor Club Org,Indonesia,IDN,Southeast Asia,G_12,2013
TM_00153,Phoenix Clan,Phoenix Clan Org,Brazil,BRA,South America,G_19,2012
TM_00154,Rebellion Gaming,Rebellion Gaming Org,United States,USA,North America,G_17,2013
TM_00155,Zenith Squad,Zenith Squad Org,Australia,AUS,Oceania,G_13,2021
TM_00156,Imperium Club,Imperium Club Org,Vietnam,VNM,Southeast Asia,G_20,2012
TM_00157,Rebellion Team,Rebellion Team Org,Japan,JPN,East Asia,G_14,2022
TM_00158,Invictus Club,Invictus Club Org,Canada,CAN,North America,G_11,2010
TM_00159,Phoenix Club,Phoenix Club Org,Canada,CAN,North America,G_19,2010
TM_00160,Rebellion Club,Rebellion Club Org,Brazil,BRA,South America,G_16,2011
TM_00161,Phoenix Squad,Phoenix Squad Org,Indonesia,IDN,Southeast Asia,G_02,2018
TM_00162,Valor Force,Valor Force Org,Saudi Arabia,SAU,Middle East,G_16,2014
TM_00163,Zenith Clan,Zenith Clan Org,Thailand,THA,Southeast Asia,G_18,2011
TM_00164,Alliance Force,Alliance Force Org,United States,USA,North America,G_15,2015
TM_00165,Titan Force,Titan Force Org,Sweden,SWE,Europe,G_20,2020
TM_00166,Apex Esports,Apex Esports Org,Saudi Arabia,SAU,Middle East,G_10,2016
TM_00167,Invictus Clan,Invictus Clan Org,Vietnam,VNM,Southeast Asia,G_20,2019
TM_00168,Legacy Clan,Legacy Clan Org,Sweden,SWE,Europe,G_07,2017
TM_00169,Invictus Gaming,Invictus Gaming Org,Saudi Arabia,SAU,Middle East,G_04,2018
TM_00170,Apex Clan,Apex Clan Org,Denmark,DNK,Europe,G_06,2022
TM_00171,Dynasty Esports,Dynasty Esports Org,South Korea,KOR,East Asia,G_08,2011
TM_00172,Solitude Warriors,Solitude Warriors Org,Japan,JPN,East Asia,G_11,2012
TM_00173,Imperium Force,Imperium Force Org,United Kingdom,GBR,Europe,G_13,2017
TM_00174,Titan Esports,Titan Esports Org,Germany,DEU,Europe,G_18,2022
TM_00175,Eclipse Esports,Eclipse Esports Org,Indonesia,IDN,Southeast Asia,G_07,2019
TM_00176,Nova Warriors,Nova Warriors Org,Germany,DEU,Europe,G_06,2020
TM_00177,Imperium Gaming,Imperium Gaming Org,Ukraine,UKR,Eastern Europe,G_13,2019
