Tournament_ID,Tournament_Name,Game_ID,Year,Month,Start_Date,End_Date,Duration_Days,Tier,Tournament_Type,Organizer,Host_Country,Host_City,Host_Country_ISO,Prize_Pool_USD,Is_Crowdfunded,Peak_Viewers,Average_Viewers,Hours_Watched_Thousands,Air_Time_Hours,Winning_Team_ID,Prize_Per_Viewer_Ratio,Prize_Pool_Cleaned,Prize_Pool_Capped,Audience_Retention_Rate,Daily_Hours_Watched
TN_000011,VALORANT Tier Championship 2022,G_04,2022,6,2022-06-10,2022-07-08,28,Tier 2 (A-Tier / Major),Offline (LAN),Riot Games,France,Paris,FRA,203597.35,0,1045171,293569,49319.59,168,TM_00017,0.1948,203597.35,203597.35,28.09,1761413.93
TN_000012,Rainbow Six Siege Tier Championship 2018,G_09,2018,12,2018-12-28,2019-01-07,10,Tier 4 (Regional / Qualifier),Offline (LAN),Ubisoft,Vietnam,Hanoi,VNM,29046.96,0,72067,21873,1749.84,80,TM_00060,0.4031,29046.96,29046.96,30.35,174984.0
TN_000013,Overwatch 2 Tier Championship 2023,G_11,2023,5,2023-05-06,2023-05-16,10,Tier 3 (B-Tier / Minor),Online,Blizzard,Online,Online,GLB,28911.37,0,176858,53133,3187.98,60,TM_00158,0.1635,28911.37,28911.37,30.04,318798.0
TN_000014,Overwatch 2 Tier Championship 2023,G_11,2023,8,2023-08-05,2023-08-26,21,Tier 2 (A-Tier / Major),Offline (LAN),Blizzard,South Korea,Seoul,KOR,344803.81,0,1566718,666800,112022.4,168,TM_00147,0.2201,344803.81,344803.81,42.56,5334400.0
TN_000015,Arena of Valor Tier Championship 2020,G_06,2020,7,2020-07-08,2020-07-25,17,Tier 1 (S-Tier / Premier),Offline (LAN),BLAST,Germany,Cologne,DEU,748012.53,0,4197908,1403049,166962.83,119,TM_00117,0.1782,748012.53,748012.53,33.42,9821342.94
TN_000016,PUBG: Battlegrounds Tier Championship 2024,G_18,2024,9,2024-09-09,2024-09-23,14,Tier 4 (Regional / Qualifier),Online,ESL FACEIT Group,Online,Online,GLB,51568.91,0,106719,39047,3826.61,98,TM_00045,0.4832,51568.91,51568.91,36.59,273329.29
TN_000017,Fortnite Tier Championship 2023,G_08,2023,11,2023-11-17,2023-12-13,26,Tier 1 (S-Tier / Premier),Offline (LAN),Epic Games,Vietnam,Ho Chi Minh City,VNM,1956388.19,0,5338542,1601036,208134.68,130,TM_00046,0.3665,1956388.19,852341.4587500001,29.99,8005180.0
TN_000018,Rainbow Six Siege Tier Championship 2023,G_09,2023,2,2023-02-19,2023-02-23,4,Tier 4 (Regional / Qualifier),Online,Ubisoft,Online,Online,GLB,52364.75,0,124701,37273,894.55,24,TM_00049,0.4199,52364.75,52364.75,29.89,223637.5
TN_000019,Tekken 8 Tier Championship 2022,G_16,2022,5,2022-05-09,2022-05-22,13,Tier 3 (B-Tier / Minor),Offline (LAN),Moonton,France,Paris,FRA,231841.83,0,281092,111936,8731.01,78,TM_00094,0.8248,231841.83,231841.83,39.82,671616.15
TN_000020,PUBG: Battlegrounds Tier Championship 2019,G_18,2019,11,2019-11-16,2019-12-04,18,Tier 2 (A-Tier / Major),Offline (LAN),Krafton,South Korea,Seoul,KOR,111497.37,0,1232729,403792,36341.28,90,TM_00071,0.0904,111497.37,111497.37,32.76,2018960.0
TN_000021,VALORANT Tier Championship 2023,G_04,2023,6,2023-06-25,2023-07-27,32,Tier 2 (A-Tier / Major),Offline (LAN),Riot Games,Philippines,Manila,PHL,274723.19,0,1580884,459716,102976.38,224,TM_00017,0.1738,274723.19,274723.19,29.08,3218011.88
TN_000022,Fortnite Tier Championship 2022,G_08,2022,1,2022-01-16,2022-02-04,19,Tier 1 (S-Tier / Premier),Offline (LAN),Epic Games,Poland,Katowice,POL,2116664.42,0,7348771,3096280,294146.6,95,TM_00171,0.288,2116664.42,852341.4587500001,42.13,15481400.0
TN_000023,League of Legends Tier Championship 2019,G_01,2019,12,2019-12-10,2019-12-24,14,Tier 3 (B-Tier / Minor),Online,Riot Games,Online,Online,GLB,53301.13,0,421819,175223,19624.98,112,TM_00007,0.1264,53301.13,53301.13,41.54,1401784.29
TN_000024,CrossFire Tier Championship 2021,G_20,2021,5,2021-05-23,2021-06-04,12,Tier 3 (B-Tier / Minor),Offline (LAN),PGL,Vietnam,Hanoi,VNM,28338.18,0,306068,94488,9070.85,96,TM_00150,0.0926,28338.18,28338.18,30.87,755904.17
TN_000025,Dota 2 Tier Championship 2018,G_02,2018,11,2018-11-27,2018-12-14,17,Tier 2 (A-Tier / Major),Offline (LAN),Valve,Thailand,Bangkok,THA,437050.64,1,830728,338164,45990.3,136,TM_00003,0.5261,437050.64,437050.64,40.71,2705311.76
TN_000026,VALORANT Tier Championship 2022,G_04,2022,8,2022-08-20,2022-09-10,21,Tier 2 (A-Tier / Major),Offline (LAN),Riot Games,Poland,Katowice,POL,253533.34,0,388541,151647,22292.11,147,TM_00042,0.6525,253533.34,253533.34,39.03,1061529.05
TN_000027,Free Fire Tier Championship 2018,G_14,2018,1,2018-01-28,2018-02-22,25,Tier 2 (A-Tier / Major),Offline (LAN),Garena,Singapore,Singapore,SGP,129272.5,0,189056,84508,16901.6,200,TM_00022,0.6838,129272.5,129272.5,44.7,676064.0
TN_000028,Mobile Legends: Bang Bang Tier Championship 2025,G_07,2025,4,2025-04-18,2025-05-17,29,Tier 1 (S-Tier / Premier),Offline (LAN),Moonton,Singapore,Singapore,SGP,1351408.42,0,7701816,2917528,507649.87,174,TM_00168,0.1755,1351408.42,852341.4587500001,37.88,17505167.93
TN_000029,Free Fire Tier Championship 2015,G_14,2015,7,2015-07-18,2015-07-21,3,Tier 4 (Regional / Qualifier),Online,Garena,Online,Online,GLB,59042.77,0,65281,26286,394.29,15,TM_00126,0.9044,59042.77,59042.77,40.27,131430.0
TN_000030,CrossFire Tier Championship 2016,G_20,2016,2,2016-02-19,2016-03-11,21,Tier 2 (A-Tier / Major),Offline (LAN),Smilegate,Germany,Cologne,DEU,124129.67,0,825508,263282,44231.38,168,TM_00120,0.1504,124129.67,124129.67,31.89,2106256.19
TN_000031,Tekken 8 Tier Championship 2021,G_16,2021,1,2021-01-07,2021-02-03,27,Tier 1 (S-Tier / Premier),Offline (LAN),Bandai Namco,Saudi Arabia,Riyadh,SAU,1690342.26,0,8352649,3051966,412015.41,135,TM_00094,0.2024,1690342.26,852341.4587500001,36.54,15259830.0
TN_000032,StarCraft II Tier Championship 2012,G_13,2012,2,2012-02-22,2012-03-11,18,Tier 2 (A-Tier / Major),Offline (LAN),PGL,Saudi Arabia,Riyadh,SAU,203507.29,0,381945,154090,16641.72,108,TM_00177,0.5328,203507.29,203507.29,40.34,924540.0
TN_000033,Apex Legends Tier Championship 2012,G_12,2012,4,2012-04-12,2012-04-16,4,Tier 3 (B-Tier / Minor),Online,ESL FACEIT Group,Online,Online,GLB,29505.45,0,168194,47226,1322.33,28,TM_00152,0.1754,29505.45,29505.45,28.08,330582.5
TN_000034,Free Fire Tier Championship 2020,G_14,2020,1,2020-01-19,2020-01-23,4,Tier 4 (Regional / Qualifier),Offline (LAN),BLAST,Philippines,Manila,PHL,9782.43,0,57767,21233,679.46,32,TM_00126,0.1693,9782.43,9782.43,36.76,169865.0
TN_000035,Rainbow Six Siege Tier Championship 2020,G_09,2020,4,2020-04-03,2020-04-11,8,Tier 4 (Regional / Qualifier),Online,PGL,Online,Online,GLB,30039.41,0,157184,56866,2274.64,40,TM_00057,0.1911,30039.41,30039.41,36.18,284330.0
TN_000036,VALORANT Tier Championship 2025,G_04,2025,2,2025-02-26,2025-03-31,33,Tier 1 (S-Tier / Premier),Offline (LAN),Riot Games,Vietnam,Hanoi,VNM,991694.27,0,9941026,3886611,769548.98,198,TM_00042,0.0998,991694.27,852341.4587500001,39.1,23319666.06
TN_000037,Arena of Valor Tier Championship 2016,G_06,2016,1,2016-01-16,2016-02-16,31,Tier 2 (A-Tier / Major),Offline (LAN),Tencent / Garena,Vietnam,Hanoi,VNM,209221.6,0,511236,191124,35549.06,186,TM_00170,0.4092,209221.6,209221.6,37.38,1146743.87
TN_000038,Overwatch 2 Tier Championship 2025,G_11,2025,11,2025-11-25,2025-12-24,29,Tier 2 (A-Tier / Major),Offline (LAN),PGL,South Korea,Seoul,KOR,106496.66,0,2554295,1112218,258034.58,232,TM_00110,0.0417,106496.66,106496.66,43.54,8897744.14
TN_000039,StarCraft II Tier Championship 2018,G_13,2018,6,2018-06-04,2018-06-15,11,Tier 4 (Regional / Qualifier),Offline (LAN),Moonton,United States,Los Angeles,USA,34479.44,0,89995,36237,2391.64,66,TM_00025,0.3831,34479.44,34479.44,40.27,217421.82
TN_000040,Mobile Legends: Bang Bang Tier Championship 2024,G_07,2024,10,2024-10-09,2024-10-12,3,Tier 3 (B-Tier / Minor),Online,Moonton,Online,Online,GLB,47631.7,0,320298,134284,3222.82,24,TM_00175,0.1487,47631.7,47631.7,41.92,1074273.33
TN_000041,Tekken 8 Tier Championship 2014,G_16,2014,12,2014-12-12,2015-01-09,28,Tier 2 (A-Tier / Major),Offline (LAN),Bandai Namco,Thailand,Bangkok,THA,1109212.33,0,906525,259058,43521.74,168,TM_00162,1.2236,1109212.33,852341.4587500001,28.58,1554347.86
TN_000042,StarCraft II Tier Championship 2025,G_13,2025,1,2025-01-24,2025-02-27,34,Tier 2 (A-Tier / Major),Offline (LAN),Blizzard,United States,Seattle,USA,859976.58,0,1693573,651512,110757.04,170,TM_00025,0.5078,859976.58,852341.4587500001,38.47,3257560.0
TN_000043,Rocket League Tier Championship 2012,G_10,2012,11,2012-11-09,2012-11-15,6,Tier 3 (B-Tier / Minor),Online,PGL,Online,Online,GLB,34365.33,0,59499,19656,707.62,36,TM_00089,0.5776,34365.33,34365.33,33.04,117936.67
TN_000044,CrossFire Tier Championship 2023,G_20,2023,4,2023-04-24,2023-04-27,3,Tier 3 (B-Tier / Minor),Online,PGL,Online,Online,GLB,40538.06,0,208450,66179,1191.22,18,TM_00109,0.1945,40538.06,40538.06,31.75,397073.33
TN_000045,PUBG: Battlegrounds Tier Championship 2024,G_18,2024,4,2024-04-07,2024-04-30,23,Tier 1 (S-Tier / Premier),Offline (LAN),Krafton,Germany,Cologne,DEU,1271753.74,0,7073078,2642825,486279.8,184,TM_00140,0.1798,1271753.74,852341.4587500001,37.36,21142600.0
TN_000046,Arena of Valor Tier Championship 2014,G_06,2014,1,2014-01-22,2014-02-01,10,Tier 3 (B-Tier / Minor),Online,PGL,Online,Online,GLB,38695.4,0,219391,67411,4044.66,60,TM_00012,0.1764,38695.4,38695.4,30.73,404466.0
TN_000047,Rainbow Six Siege Tier Championship 2025,G_09,2025,1,2025-01-04,2025-01-29,25,Tier 1 (S-Tier / Premier),Offline (LAN),BLAST,Poland,Katowice,POL,522784.52,0,6098480,2001327,400265.4,200,TM_00123,0.0857,522784.52,522784.52,32.82,16010616.0
TN_000048,Rainbow Six Siege Tier Championship 2022,G_09,2022,3,2022-03-23,2022-03-27,4,Tier 3 (B-Tier / Minor),Online,Ubisoft,Online,Online,GLB,97190.21,0,321343,110932,2662.37,24,TM_00084,0.3025,97190.21,97190.21,34.52,665592.5
TN_000049,CrossFire Tier Championship 2019,G_20,2019,8,2019-08-13,2019-08-18,5,Tier 4 (Regional / Qualifier),Offline (LAN),Smilegate,South Korea,Seoul,KOR,53053.53,0,61181,20375,713.12,35,TM_00142,0.8672,53053.53,53053.53,33.3,142624.0
TN_000050,Rainbow Six Siege Tier Championship 2019,G_09,2019,1,2019-01-18,2019-01-31,13,Tier 3 (B-Tier / Minor),Offline (LAN),Garena,Germany,Berlin,DEU,117558.31,0,388914,137345,8927.42,65,TM_00133,0.3023,117558.31,117558.31,35.32,686724.62
TN_000051,Dota 2 Tier Championship 2019,G_02,2019,2,2019-02-25,2019-03-17,20,Tier 1 (S-Tier / Premier),Offline (LAN),Valve,Germany,Berlin,DEU,546346.04,1,2698814,914419,91441.9,100,TM_00098,0.2024,546346.04,546346.04,33.88,4572095.0
TN_000052,Rainbow Six Siege Tier Championship 2024,G_09,2024,3,2024-03-14,2024-03-18,4,Tier 3 (B-Tier / Minor),Online,Ubisoft,Online,Online,GLB,53401.06,0,324698,142537,4561.18,32,TM_00111,0.1645,53401.06,53401.06,43.9,1140295.0
TN_000053,CrossFire Tier Championship 2019,G_20,2019,4,2019-04-23,2019-05-15,22,Tier 2 (A-Tier / Major),Offline (LAN),Smilegate,Germany,Berlin,DEU,243788.09,0,1320426,517581,79707.47,154,TM_00150,0.1846,243788.09,243788.09,39.2,3623066.82
TN_000054,PUBG: Battlegrounds Tier Championship 2021,G_18,2021,8,2021-08-06,2021-08-18,12,Tier 3 (B-Tier / Minor),Online,Moonton,Online,Online,GLB,65270.3,0,221331,84781,6104.23,72,TM_00027,0.2949,65270.3,65270.3,38.31,508685.83
TN_000055,Tekken 8 Tier Championship 2018,G_16,2018,8,2018-08-14,2018-09-16,33,Tier 1 (S-Tier / Premier),Offline (LAN),Bandai Namco,Germany,Berlin,DEU,756171.18,0,6015476,2276860,601091.04,264,TM_00160,0.1257,756171.18,756171.18,37.85,18214880.0
TN_000056,Rainbow Six Siege Tier Championship 2018,G_09,2018,5,2018-05-11,2018-05-23,12,Tier 3 (B-Tier / Minor),Offline (LAN),Ubisoft,Vietnam,Hanoi,VNM,123145.81,0,87286,26918,1938.1,72,TM_00057,1.4108,123145.81,123145.81,30.84,161508.33
TN_000057,Fortnite Tier Championship 2020,G_08,2020,12,2020-12-26,2021-01-15,20,Tier 2 (A-Tier / Major),Offline (LAN),Garena,South Korea,Seoul,KOR,132453.63,0,1285611,510381,71453.34,140,TM_00070,0.103,132453.63,132453.63,39.7,3572667.0
TN_000058,Street Fighter 6 Tier Championship 2024,G_17,2024,7,2024-07-25,2024-08-10,16,Tier 2 (A-Tier / Major),Offline (LAN),Capcom,Saudi Arabia,Riyadh,SAU,203173.91,0,1089140,427462,34196.96,80,TM_00154,0.1865,203173.91,203173.91,39.25,2137310.0
TN_000059,Teamfight Tactics Tier Championship 2024,G_19,2024,12,2024-12-05,2024-12-26,21,Tier 1 (S-Tier / Premier),Offline (LAN),Riot Games,China,Shanghai,CHN,1806014.21,0,6699880,2521786,264787.53,105,TM_00035,0.2696,1806014.21,852341.4587500001,37.64,12608930.0
TN_000060,Apex Legends Tier Championship 2024,G_12,2024,9,2024-09-16,2024-09-25,9,Tier 3 (B-Tier / Minor),Online,EA / Respawn,Online,Online,GLB,26182.05,0,389162,147803,7981.36,54,TM_00107,0.0673,26182.05,26182.05,37.98,886817.78
TN_000061,League of Legends Tier Championship 2018,G_01,2018,1,2018-01-17,2018-01-22,5,Tier 3 (B-Tier / Minor),Online,Riot Games,Online,Online,GLB,163254.75,0,306371,89496,2684.88,30,TM_00020,0.5329,163254.75,163254.75,29.21,536976.0
TN_000062,Mobile Legends: Bang Bang Tier Championship 2014,G_07,2014,3,2014-03-08,2014-03-19,11,Tier 3 (B-Tier / Minor),Offline (LAN),Moonton,China,Shanghai,CHN,123767.28,0,146654,43727,2404.99,55,TM_00015,0.8439,123767.28,123767.28,29.82,218635.45
TN_000063,CrossFire Tier Championship 2014,G_20,2014,4,2014-04-18,2014-04-29,11,Tier 3 (B-Tier / Minor),Online,ESL FACEIT Group,Online,Online,GLB,103223.37,0,286027,88257,6795.79,77,TM_00138,0.3609,103223.37,103223.37,30.86,617799.09
TN_000064,Arena of Valor Tier Championship 2016,G_06,2016,9,2016-09-18,2016-10-10,22,Tier 1 (S-Tier / Premier),Offline (LAN),BLAST,United States,Los Angeles,USA,4769102.72,0,2331691,891982,137365.23,154,TM_00170,2.0453,4769102.72,852341.4587500001,38.25,6243874.09
TN_000065,Teamfight Tactics Tier Championship 2018,G_19,2018,9,2018-09-05,2018-09-20,15,Tier 2 (A-Tier / Major),Offline (LAN),Garena,Germany,Berlin,DEU,266453.5,0,377717,143034,17164.08,120,TM_00099,0.7054,266453.5,266453.5,37.87,1144272.0
TN_000066,Overwatch 2 Tier Championship 2019,G_11,2019,4,2019-04-05,2019-05-09,34,Tier 1 (S-Tier / Premier),Offline (LAN),ESL FACEIT Group,France,Paris,FRA,4376766.98,0,3736417,1595437,325469.15,204,TM_00110,1.1714,4376766.98,852341.4587500001,42.7,9572622.06
TN_000067,Free Fire Tier Championship 2014,G_14,2014,10,2014-10-15,2014-10-19,4,Tier 4 (Regional / Qualifier),Online,Garena,Online,Online,GLB,43133.3,0,47095,16233,519.46,32,TM_00022,0.9159,43133.3,43133.3,34.47,129865.0
TN_000068,Mobile Legends: Bang Bang Tier Championship 2023,G_07,2023,12,2023-12-21,2024-01-14,24,Tier 2 (A-Tier / Major),Offline (LAN),Moonton,United States,Los Angeles,USA,718813.13,0,1410329,471022,90436.22,192,TM_00054,0.5097,718813.13,718813.13,33.4,3768175.83
TN_000069,Fortnite Tier Championship 2019,G_08,2019,3,2019-03-22,2019-03-30,8,Tier 3 (B-Tier / Minor),Offline (LAN),Epic Games,Vietnam,Hanoi,VNM,29761.37,0,194003,58324,2332.96,40,TM_00083,0.1534,29761.37,29761.37,30.06,291620.0
TN_000070,League of Legends Tier Championship 2021,G_01,2021,1,2021-01-25,2021-02-08,14,Tier 2 (A-Tier / Major),Offline (LAN),Riot Games,South Korea,Seoul,KOR,646790.06,0,1118676,423939,29675.73,70,TM_00008,0.5782,646790.06,646790.06,37.9,2119695.0
TN_000071,Free Fire Tier Championship 2021,G_14,2021,12,2021-12-01,2021-12-05,4,Tier 4 (Regional / Qualifier),Online,Garena,Online,Online,GLB,14964.56,0,92523,40736,1140.61,28,TM_00126,0.1617,14964.56,14964.56,44.03,285152.5
TN_000072,Rocket League Tier Championship 2024,G_10,2024,3,2024-03-25,2024-04-10,16,Tier 1 (S-Tier / Premier),Offline (LAN),Psyonix,United States,Los Angeles,USA,687036.07,0,4932454,1440837,138320.35,96,TM_00100,0.1393,687036.07,687036.07,29.21,8645021.88
TN_000073,VALORANT Tier Championship 2021,G_04,2021,8,2021-08-26,2021-08-30,4,Tier 3 (B-Tier / Minor),Online,Riot Games,Online,Online,GLB,85453.25,0,213947,95547,3057.5,32,TM_00143,0.3994,85453.25,85453.25,44.66,764375.0
TN_000074,StarCraft II Tier Championship 2018,G_13,2018,9,2018-09-21,2018-09-29,8,Tier 4 (Regional / Qualifier),Online,Blizzard,Online,Online,GLB,8983.53,0,92943,26875,1075.0,40,TM_00132,0.0967,8983.53,8983.53,28.92,134375.0
TN_000075,VALORANT Tier Championship 2013,G_04,2013,11,2013-11-24,2013-12-06,12,Tier 4 (Regional / Qualifier),Online,Riot Games,Online,Online,GLB,8488.77,0,35929,11566,693.96,60,TM_00086,0.2363,8488.77,8488.77,32.19,57830.0
TN_000076,Fortnite Tier Championship 2022,G_08,2022,12,2022-12-05,2022-12-13,8,Tier 3 (B-Tier / Minor),Online,Epic Games,Online,Online,GLB,75838.44,0,297792,108797,6092.63,56,TM_00070,0.2547,75838.44,75838.44,36.53,761578.75
TN_000077,Street Fighter 6 Tier Championship 2012,G_17,2012,7,2012-07-22,2012-08-21,30,Tier 2 (A-Tier / Major),Offline (LAN),Capcom,United States,Seattle,USA,118987.22,0,1002233,383218,80475.78,210,TM_00088,0.1187,118987.22,118987.22,38.24,2682526.0
TN_000078,Rocket League Tier Championship 2023,G_10,2023,5,2023-05-09,2023-05-14,5,Tier 4 (Regional / Qualifier),Online,Psyonix,Online,Online,GLB,25221.78,0,79280,32787,819.67,25,TM_00080,0.3181,25221.78,25221.78,41.36,163934.0
TN_000079,Fortnite Tier Championship 2018,G_08,2018,9,2018-09-27,2018-10-02,5,Tier 4 (Regional / Qualifier),Online,Epic Games,Online,Online,GLB,7865.4,0,72362,26368,1054.72,40,TM_00037,0.1087,7865.4,7865.4,36.44,210944.0
TN_000080,Call of Duty: Warzone Tier Championship 2024,G_15,2024,5,2024-05-16,2024-05-27,11,Tier 3 (B-Tier / Minor),Online,ESL FACEIT Group,Online,Online,GLB,55289.05,0,288314,118559,7824.89,66,TM_00051,0.1918,55289.05,55289.05,41.12,711353.64
TN_000081,Rainbow Six Siege Tier Championship 2024,G_09,2024,3,2024-03-27,2024-04-07,11,Tier 4 (Regional / Qualifier),Offline (LAN),Moonton,Vietnam,Ho Chi Minh City,VNM,30459.89,0,63429,25132,1382.26,55,TM_00060,0.4802,30459.89,30459.89,39.62,125660.0
TN_000082,VALORANT Tier Championship 2013,G_04,2013,6,2013-06-13,2013-06-16,3,Tier 3 (B-Tier / Minor),Offline (LAN),Riot Games,United Kingdom,London,GBR,34496.91,0,129503,44097,1058.33,24,TM_00134,0.2664,34496.91,34496.91,34.05,352776.67
TN_000083,PUBG Mobile Tier Championship 2022,G_05,2022,8,2022-08-01,2022-08-13,12,Tier 4 (Regional / Qualifier),Offline (LAN),Krafton / Tencent,China,Shanghai,CHN,15129.42,0,82732,25916,1554.96,60,TM_00024,0.1829,15129.42,15129.42,31.33,129580.0
TN_000084,League of Legends Tier Championship 2017,G_01,2017,1,2017-01-22,2017-02-12,21,Tier 2 (A-Tier / Major),Offline (LAN),Riot Games,Vietnam,Hanoi,VNM,419054.19,0,686186,196026,32932.37,168,TM_00001,0.6107,419054.19,419054.19,28.57,1568208.1
TN_000085,Rocket League Tier Championship 2025,G_10,2025,6,2025-06-21,2025-07-07,16,Tier 2 (A-Tier / Major),Offline (LAN),Psyonix,Singapore,Singapore,SGP,134176.25,0,1344257,598850,67071.2,112,TM_00118,0.0998,134176.25,134176.25,44.55,4191950.0
TN_000086,StarCraft II Tier Championship 2024,G_13,2024,12,2024-12-17,2025-01-16,30,Tier 2 (A-Tier / Major),Offline (LAN),Blizzard,Vietnam,Hanoi,VNM,300138.6,0,906365,342726,61690.68,180,TM_00173,0.3311,300138.6,300138.6,37.81,2056356.0
TN_000087,PUBG Mobile Tier Championship 2017,G_05,2017,7,2017-07-13,2017-08-03,21,Tier 2 (A-Tier / Major),Offline (LAN),Garena,United States,Seattle,USA,111813.42,0,1286535,565447,71246.32,126,TM_00048,0.0869,111813.42,111813.42,43.95,3392681.9
TN_000088,Counter-Strike 2 Tier Championship 2023,G_03,2023,5,2023-05-17,2023-05-23,6,Tier 3 (B-Tier / Minor),Online,Valve,Online,Online,GLB,26453.12,0,160977,56606,2377.45,42,TM_00039,0.1643,26453.12,26453.12,35.16,396241.67
TN_000089,Rocket League Tier Championship 2022,G_10,2022,6,2022-06-22,2022-07-17,25,Tier 1 (S-Tier / Premier),Offline (LAN),Psyonix,China,Shanghai,CHN,1334588.85,0,6618106,2526775,442185.62,175,TM_00124,0.2017,1334588.85,852341.4587500001,38.18,17687424.8
TN_000090,Call of Duty: Warzone Tier Championship 2014,G_15,2014,3,2014-03-26,2014-04-10,15,Tier 1 (S-Tier / Premier),Offline (LAN),Activision,Indonesia,Jakarta,IDN,667184.83,0,2168985,959754,71981.55,75,TM_00131,0.3076,667184.83,667184.83,44.25,4798770.0
TN_000091,Rainbow Six Siege Tier Championship 2021,G_09,2021,11,2021-11-16,2021-12-13,27,Tier 2 (A-Tier / Major),Offline (LAN),Ubisoft,China,Shanghai,CHN,877287.33,0,1633676,523765,84849.93,162,TM_00133,0.537,877287.33,852341.4587500001,32.06,3142590.0
TN_000092,Rocket League Tier Championship 2016,G_10,2016,4,2016-04-14,2016-05-17,33,Tier 2 (A-Tier / Major),Offline (LAN),Psyonix,Saudi Arabia,Riyadh,SAU,277052.06,0,939342,276923,63969.21,231,TM_00089,0.2949,277052.06,277052.06,29.48,1938460.91
TN_000093,Tekken 8 Tier Championship 2022,G_16,2022,1,2022-01-25,2022-02-06,12,Tier 4 (Regional / Qualifier),Online,Bandai Namco,Online,Online,GLB,5042.12,0,117901,33825,2435.4,72,TM_00094,0.0428,5042.12,5042.12,28.69,202950.0
TN_000094,Overwatch 2 Tier Championship 2019,G_11,2019,3,2019-03-03,2019-03-10,7,Tier 3 (B-Tier / Minor),Offline (LAN),Blizzard,China,Shanghai,CHN,220612.07,0,295369,113462,3971.17,35,TM_00135,0.7469,220612.07,220612.07,38.41,567310.0
TN_000095,VALORANT Tier Championship 2013,G_04,2013,2,2013-02-28,2013-03-09,9,Tier 4 (Regional / Qualifier),Online,Riot Games,Online,Online,GLB,27353.86,0,23968,9925,625.27,63,TM_00042,1.1413,27353.86,27353.86,41.41,69474.44
