Placement_ID,Tournament_ID,Rank,Rank_Label,Team_ID,Prize_Money_USD,Prize_Share_Pct,Is_Winner
PLC_0000026,TN_000004,3,3rd Place,TM_00054,127588.46,12.0,0
PLC_0000027,TN_000004,4,4th Place,TM_00122,85058.97,8.0,0
PLC_0000028,TN_000004,5,5th Place,TM_00015,53161.86,5.0,0
PLC_0000029,TN_000004,6,6th Place,TM_00168,42529.49,4.0,0
PLC_0000030,TN_000004,7,7th Place,TM_00087,31897.12,3.0,0
PLC_0000031,TN_000004,8,8th Place,TM_00104,31897.12,3.0,0
PLC_0000032,TN_000005,1,1st Place (Champion),TM_00091,11501.15,45.0,1
PLC_0000033,TN_000005,2,2nd Place,TM_00149,5111.62,20.0,0
PLC_0000034,TN_000005,3,3rd Place,TM_00069,3066.97,12.0,0
PLC_0000035,TN_000005,4,4th Place,TM_00151,2044.65,8.0,0
PLC_0000036,TN_000005,5,5th Place,TM_00154,1277.91,5.0,0
PLC_0000037,TN_000005,6,6th Place,TM_00088,1022.32,4.0,0
PLC_0000038,TN_000005,7,7th Place,TM_00044,766.74,3.0,0
PLC_0000039,TN_000005,8,8th Place,TM_00041,766.74,3.0,0
PLC_0000040,TN_000006,1,1st Place (Champion),TM_00079,150882.86,45.0,1
PLC_0000041,TN_000006,2,2nd Place,TM_00153,67059.05,20.0,0
PLC_0000042,TN_000006,3,3rd Place,TM_00106,40235.43,12.0,0
PLC_0000043,TN_000006,4,4th Place,TM_00121,26823.62,8.0,0
PLC_0000044,TN_000006,5,5th Place,TM_00063,16764.76,5.0,0
PLC_0000045,TN_000006,6,6th Place,TM_00065,13411.81,4.0,0
PLC_0000046,TN_000006,7,7th Place,TM_00035,10058.86,3.0,0
PLC_0000047,TN_000006,8,8th Place,TM_00099,10058.86,3.0,0
PLC_0000048,TN_000007,1,1st Place (Champion),TM_00173,75177.67,45.0,1
PLC_0000049,TN_000007,2,2nd Place,TM_00132,33412.3,20.0,0
PLC_0000050,TN_000007,3,3rd Place,TM_00177,20047.38,12.0,0
PLC_0000051,TN_000007,4,4th Place,TM_00155,13364.92,8.0,0
PLC_0000052,TN_000007,5,5th Place,TM_00025,8353.07,5.0,0
PLC_0000053,TN_000007,6,6th Place,TM_00082,6682.46,4.0,0
PLC_0000054,TN_000007,7,7th Place,TM_00036,5011.84,3.0,0
PLC_0000055,TN_000008,1,1st Place (Champion),TM_00055,21934.85,45.0,1
PLC_0000056,TN_000008,2,2nd Place,TM_00066,9748.82,20.0,0
PLC_0000057,TN_000008,3,3rd Place,TM_00046,5849.29,12.0,0
PLC_0000058,TN_000008,4,4th Place,TM_00105,3899.53,8.0,0
PLC_0000059,TN_000008,5,5th Place,TM_00037,2437.21,5.0,0
PLC_0000060,TN_000008,6,6th Place,TM_00114,1949.76,4.0,0
PLC_0000061,TN_000008,7,7th Place,TM_00034,1462.32,3.0,0
PLC_0000062,TN_000008,8,8th Place,TM_00083,1462.32,3.0,0
PLC_0000063,TN_000009,1,1st Place (Champion),TM_00175,571680.17,45.0,1
PLC_0000064,TN_000009,2,2nd Place,TM_00104,254080.07,20.0,0
PLC_0000065,TN_000009,3,3rd Place,TM_00054,152448.04,12.0,0
PLC_0000066,TN_000009,4,4th Place,TM_00014,101632.03,8.0,0
PLC_0000067,TN_000009,5,5th Place,TM_00087,63520.02,5.0,0
PLC_0000068,TN_000010,1,1st Place (Champion),TM_00111,24384.49,45.0,1
PLC_0000069,TN_000010,2,2nd Place,TM_00049,10837.55,20.0,0
PLC_0000070,TN_000010,3,3rd Place,TM_00127,6502.53,12.0,0
PLC_0000071,TN_000010,4,4th Place,TM_00057,4335.02,8.0,0
PLC_0000072,TN_000010,5,5th Place,TM_00133,2709.39,5.0,0
PLC_0000073,TN_000010,6,6th Place,TM_00060,2167.51,4.0,0
PLC_0000074,TN_000010,7,7th Place,TM_00123,1625.63,3.0,0
PLC_0000075,TN_000011,1,1st Place (Champion),TM_00017,91618.81,45.0,1
PLC_0000076,TN_000011,2,2nd Place,TM_00073,40719.47,20.0,0
PLC_0000077,TN_000011,3,3rd Place,TM_00143,24431.68,12.0,0
PLC_0000078,TN_000011,4,4th Place,TM_00016,16287.79,8.0,0
PLC_0000079,TN_000011,5,5th Place,TM_00056,10179.87,5.0,0
PLC_0000080,TN_000011,6,6th Place,TM_00042,8143.89,4.0,0
PLC_0000081,TN_000011,7,7th Place,TM_00086,6107.92,3.0,0
PLC_0000082,TN_000011,8,8th Place,TM_00169,6107.92,3.0,0
PLC_0000083,TN_000012,1,1st Place (Champion),TM_00060,13071.13,45.0,1
PLC_0000084,TN_000012,2,2nd Place,TM_00123,5809.39,20.0,0
PLC_0000085,TN_000012,3,3rd Place,TM_00111,3485.64,12.0,0
PLC_0000086,TN_000012,4,4th Place,TM_00127,2323.76,8.0,0
PLC_0000087,TN_000012,5,5th Place,TM_00049,1452.35,5.0,0
PLC_0000088,TN_000012,6,6th Place,TM_00133,1161.88,4.0,0
PLC_0000089,TN_000012,7,7th Place,TM_00084,871.41,3.0,0
PLC_0000090,TN_000012,8,8th Place,TM_00057,871.41,3.0,0
PLC_0000091,TN_000013,1,1st Place (Champion),TM_00158,13010.12,45.0,1
PLC_0000092,TN_000013,2,2nd Place,TM_00110,5782.27,20.0,0
PLC_0000093,TN_000013,3,3rd Place,TM_00172,3469.36,12.0,0
PLC_0000094,TN_000013,4,4th Place,TM_00135,2312.91,8.0,0
PLC_0000095,TN_000013,5,5th Place,TM_00096,1445.57,5.0,0
PLC_0000096,TN_000013,6,6th Place,TM_00147,1156.45,4.0,0
PLC_0000097,TN_000013,7,7th Place,TM_00113,867.34,3.0,0
PLC_0000098,TN_000013,8,8th Place,TM_00076,867.34,3.0,0
PLC_0000099,TN_000014,1,1st Place (Champion),TM_00147,155161.71,45.0,1
PLC_0000100,TN_000014,2,2nd Place,TM_00110,68960.76,20.0,0
PLC_0000101,TN_000014,3,3rd Place,TM_00172,41376.46,12.0,0
PLC_0000102,TN_000014,4,4th Place,TM_00135,27584.3,8.0,0
PLC_0000103,TN_000014,5,5th Place,TM_00113,17240.19,5.0,0
PLC_0000104,TN_000015,1,1st Place (Champion),TM_00117,336605.64,45.0,1
PLC_0000105,TN_000015,2,2nd Place,TM_00176,149602.51,20.0,0
PLC_0000106,TN_000015,3,3rd Place,TM_00103,89761.5,12.0,0
PLC_0000107,TN_000015,4,4th Place,TM_00033,59841.0,8.0,0
PLC_0000108,TN_000015,5,5th Place,TM_00081,37400.63,5.0,0
PLC_0000109,TN_000015,6,6th Place,TM_00064,29920.5,4.0,0
PLC_0000110,TN_000015,7,7th Place,TM_00136,22440.38,3.0,0
PLC_0000111,TN_000015,8,8th Place,TM_00170,22440.38,3.0,0
PLC_0000112,TN_000016,1,1st Place (Champion),TM_00045,23206.01,45.0,1
PLC_0000113,TN_000016,2,2nd Place,TM_00174,10313.78,20.0,0
PLC_0000114,TN_000016,3,3rd Place,TM_00163,6188.27,12.0,0
PLC_0000115,TN_000016,4,4th Place,TM_00095,4125.51,8.0,0
PLC_0000116,TN_000016,5,5th Place,TM_00119,2578.45,5.0,0
PLC_0000117,TN_000016,6,6th Place,TM_00077,2062.76,4.0,0
PLC_0000118,TN_000016,7,7th Place,TM_00027,1547.07,3.0,0
PLC_0000119,TN_000017,1,1st Place (Champion),TM_00046,880374.69,45.0,1
PLC_0000120,TN_000017,2,2nd Place,TM_00112,391277.64,20.0,0
PLC_0000121,TN_000017,3,3rd Place,TM_00105,234766.58,12.0,0
PLC_0000122,TN_000017,4,4th Place,TM_00070,156511.06,8.0,0
PLC_0000123,TN_000017,5,5th Place,TM_00053,97819.41,5.0,0
PLC_0000124,TN_000018,1,1st Place (Champion),TM_00049,23564.14,45.0,1
PLC_0000125,TN_000018,2,2nd Place,TM_00123,10472.95,20.0,0
PLC_0000126,TN_000018,3,3rd Place,TM_00111,6283.77,12.0,0
PLC_0000127,TN_000018,4,4th Place,TM_00084,4189.18,8.0,0
PLC_0000128,TN_000018,5,5th Place,TM_00133,2618.24,5.0,0
PLC_0000129,TN_000018,6,6th Place,TM_00127,2094.59,4.0,0
PLC_0000130,TN_000018,7,7th Place,TM_00060,1570.94,3.0,0
PLC_0000131,TN_000018,8,8th Place,TM_00057,1570.94,3.0,0
PLC_0000132,TN_000019,1,1st Place (Champion),TM_00094,104328.82,45.0,1
PLC_0000133,TN_000019,2,2nd Place,TM_00125,46368.37,20.0,0
PLC_0000134,TN_000019,3,3rd Place,TM_00128,27821.02,12.0,0
PLC_0000135,TN_000019,4,4th Place,TM_00061,18547.35,8.0,0
PLC_0000136,TN_000019,5,5th Place,TM_00059,11592.09,5.0,0
PLC_0000137,TN_000019,6,6th Place,TM_00160,9273.67,4.0,0
PLC_0000138,TN_000019,7,7th Place,TM_00162,6955.25,3.0,0
PLC_0000139,TN_000020,1,1st Place (Champion),TM_00071,50173.82,45.0,1
PLC_0000140,TN_000020,2,2nd Place,TM_00163,22299.47,20.0,0
PLC_0000141,TN_000020,3,3rd Place,TM_00045,13379.68,12.0,0
PLC_0000142,TN_000020,4,4th Place,TM_00140,8919.79,8.0,0
PLC_0000143,TN_000020,5,5th Place,TM_00077,5574.87,5.0,0
PLC_0000144,TN_000020,6,6th Place,TM_00095,4459.89,4.0,0
PLC_0000145,TN_000020,7,7th Place,TM_00119,3344.92,3.0,0
PLC_0000146,TN_000021,1,1st Place (Champion),TM_00017,123625.44,45.0,1
PLC_0000147,TN_000021,2,2nd Place,TM_00134,54944.64,20.0,0
PLC_0000148,TN_000021,3,3rd Place,TM_00016,32966.78,12.0,0
PLC_0000149,TN_000021,4,4th Place,TM_00056,21977.86,8.0,0
PLC_0000150,TN_000021,5,5th Place,TM_00169,13736.16,5.0,0
PLC_0000151,TN_000022,1,1st Place (Champion),TM_00171,952498.99,45.0,1
PLC_0000152,TN_000022,2,2nd Place,TM_00066,423332.88,20.0,0
PLC_0000153,TN_000022,3,3rd Place,TM_00046,253999.73,12.0,0
PLC_0000154,TN_000022,4,4th Place,TM_00114,169333.15,8.0,0
PLC_0000155,TN_000022,5,5th Place,TM_00083,105833.22,5.0,0
PLC_0000156,TN_000022,6,6th Place,TM_00112,84666.58,4.0,0
PLC_0000157,TN_000022,7,7th Place,TM_00105,63499.93,3.0,0
PLC_0000158,TN_000022,8,8th Place,TM_00037,63499.93,3.0,0
PLC_0000159,TN_000023,1,1st Place (Champion),TM_00007,23985.51,45.0,1
PLC_0000160,TN_000023,2,2nd Place,TM_00020,10660.23,20.0,0
PLC_0000161,TN_000023,3,3rd Place,TM_00001,6396.14,12.0,0
PLC_0000162,TN_000023,4,4th Place,TM_00023,4264.09,8.0,0
PLC_0000163,TN_000023,5,5th Place,TM_00146,2665.06,5.0,0
PLC_0000164,TN_000023,6,6th Place,TM_00008,2132.05,4.0,0
PLC_0000165,TN_000023,7,7th Place,TM_00018,1599.03,3.0,0
PLC_0000166,TN_000023,8,8th Place,TM_00072,1599.03,3.0,0
PLC_0000167,TN_000024,1,1st Place (Champion),TM_00150,12752.18,45.0,1
PLC_0000168,TN_000024,2,2nd Place,TM_00167,5667.64,20.0,0
PLC_0000169,TN_000024,3,3rd Place,TM_00165,3400.58,12.0,0
PLC_0000170,TN_000024,4,4th Place,TM_00068,2267.05,8.0,0
PLC_0000171,TN_000024,5,5th Place,TM_00120,1416.91,5.0,0
PLC_0000172,TN_000024,6,6th Place,TM_00138,1133.53,4.0,0
PLC_0000173,TN_000024,7,7th Place,TM_00109,850.15,3.0,0
PLC_0000174,TN_000025,1,1st Place (Champion),TM_00003,196672.79,45.0,1
PLC_0000175,TN_000025,2,2nd Place,TM_00005,87410.13,20.0,0
PLC_0000176,TN_000025,3,3rd Place,TM_00161,52446.08,12.0,0
PLC_0000177,TN_000025,4,4th Place,TM_00062,34964.05,8.0,0
PLC_0000178,TN_000025,5,5th Place,TM_00129,21852.53,5.0,0
PLC_0000179,TN_000025,6,6th Place,TM_00004,17482.03,4.0,0
PLC_0000180,TN_000025,7,7th Place,TM_00029,13111.52,3.0,0
PLC_0000181,TN_000025,8,8th Place,TM_00098,13111.52,3.0,0
PLC_0000182,TN_000026,1,1st Place (Champion),TM_00042,114090.0,45.0,1
PLC_0000183,TN_000026,2,2nd Place,TM_00086,50706.67,20.0,0
PLC_0000184,TN_000026,3,3rd Place,TM_00016,30424.0,12.0,0
PLC_0000185,TN_000026,4,4th Place,TM_00017,20282.67,8.0,0
PLC_0000186,TN_000026,5,5th Place,TM_00143,12676.67,5.0,0
PLC_0000187,TN_000026,6,6th Place,TM_00030,10141.33,4.0,0
PLC_0000188,TN_000026,7,7th Place,TM_00169,7606.0,3.0,0
PLC_0000189,TN_000026,8,8th Place,TM_00019,7606.0,3.0,0
PLC_0000190,TN_000027,1,1st Place (Champion),TM_00022,58172.62,45.0,1
PLC_0000191,TN_000027,2,2nd Place,TM_00043,25854.5,20.0,0
PLC_0000192,TN_000027,3,3rd Place,TM_00148,15512.7,12.0,0
PLC_0000193,TN_000027,4,4th Place,TM_00097,10341.8,8.0,0
PLC_0000194,TN_000027,5,5th Place,TM_00126,6463.62,5.0,0
PLC_0000195,TN_000027,6,6th Place,TM_00101,5170.9,4.0,0
PLC_0000196,TN_000027,7,7th Place,TM_00157,3878.17,3.0,0
PLC_0000197,TN_000028,1,1st Place (Champion),TM_00168,608133.79,45.0,1
PLC_0000198,TN_000028,2,2nd Place,TM_00122,270281.68,20.0,0
PLC_0000199,TN_000028,3,3rd Place,TM_00013,162169.01,12.0,0
PLC_0000200,TN_000028,4,4th Place,TM_00175,108112.67,8.0,0
PLC_0000201,TN_000028,5,5th Place,TM_00015,67570.42,5.0,0
PLC_0000202,TN_000028,6,6th Place,TM_00054,54056.34,4.0,0
PLC_0000203,TN_000028,7,7th Place,TM_00104,40542.25,3.0,0
PLC_0000204,TN_000029,1,1st Place (Champion),TM_00126,26569.25,45.0,1
PLC_0000205,TN_000029,2,2nd Place,TM_00148,11808.55,20.0,0
PLC_0000206,TN_000029,3,3rd Place,TM_00043,7085.13,12.0,0
PLC_0000207,TN_000029,4,4th Place,TM_00022,4723.42,8.0,0
PLC_0000208,TN_000029,5,5th Place,TM_00097,2952.14,5.0,0
PLC_0000209,TN_000030,1,1st Place (Champion),TM_00120,55858.35,45.0,1
PLC_0000210,TN_000030,2,2nd Place,TM_00109,24825.93,20.0,0
PLC_0000211,TN_000030,3,3rd Place,TM_00156,14895.56,12.0,0
PLC_0000212,TN_000030,4,4th Place,TM_00138,9930.37,8.0,0
PLC_0000213,TN_000030,5,5th Place,TM_00167,6206.48,5.0,0
PLC_0000214,TN_000030,6,6th Place,TM_00142,4965.19,4.0,0
PLC_0000215,TN_000030,7,7th Place,TM_00165,3723.89,3.0,0
PLC_0000216,TN_000031,1,1st Place (Champion),TM_00094,760654.02,45.0,1
PLC_0000217,TN_000031,2,2nd Place,TM_00128,338068.45,20.0,0
PLC_0000218,TN_000031,3,3rd Place,TM_00160,202841.07,12.0,0
PLC_0000219,TN_000031,4,4th Place,TM_00059,135227.38,8.0,0
PLC_0000220,TN_000031,5,5th Place,TM_00162,84517.11,5.0,0
PLC_0000221,TN_000031,6,6th Place,TM_00061,67613.69,4.0,0
PLC_0000222,TN_000031,7,7th Place,TM_00125,50710.27,3.0,0
PLC_0000223,TN_000032,1,1st Place (Champion),TM_00177,91578.28,45.0,1
PLC_0000224,TN_000032,2,2nd Place,TM_00155,40701.46,20.0,0
PLC_0000225,TN_000032,3,3rd Place,TM_00036,24420.87,12.0,0
PLC_0000226,TN_000032,4,4th Place,TM_00082,16280.58,8.0,0
PLC_0000227,TN_000032,5,5th Place,TM_00173,10175.36,5.0,0
PLC_0000228,TN_000033,1,1st Place (Champion),TM_00152,13277.45,45.0,1
PLC_0000229,TN_000033,2,2nd Place,TM_00138,5901.09,20.0,0
PLC_0000230,TN_000033,3,3rd Place,TM_00025,3540.65,12.0,0
PLC_0000231,TN_000033,4,4th Place,TM_00072,2360.44,8.0,0
PLC_0000232,TN_000033,5,5th Place,TM_00127,1475.27,5.0,0
PLC_0000233,TN_000034,1,1st Place (Champion),TM_00126,4402.09,45.0,1
PLC_0000234,TN_000034,2,2nd Place,TM_00157,1956.49,20.0,0
PLC_0000235,TN_000034,3,3rd Place,TM_00040,1173.89,12.0,0
PLC_0000236,TN_000034,4,4th Place,TM_00043,782.59,8.0,0
PLC_0000237,TN_000034,5,5th Place,TM_00101,489.12,5.0,0
PLC_0000238,TN_000034,6,6th Place,TM_00097,391.3,4.0,0
PLC_0000239,TN_000034,7,7th Place,TM_00022,293.47,3.0,0
PLC_0000240,TN_000034,8,8th Place,TM_00137,293.47,3.0,0
PLC_0000241,TN_000035,1,1st Place (Champion),TM_00057,13517.73,45.0,1
PLC_0000242,TN_000035,2,2nd Place,TM_00123,6007.88,20.0,0
PLC_0000243,TN_000035,3,3rd Place,TM_00084,3604.73,12.0,0
PLC_0000244,TN_000035,4,4th Place,TM_00111,2403.15,8.0,0
PLC_0000245,TN_000035,5,5th Place,TM_00127,1501.97,5.0,0
PLC_0000246,TN_000035,6,6th Place,TM_00060,1201.58,4.0,0
PLC_0000247,TN_000035,7,7th Place,TM_00133,901.18,3.0,0
PLC_0000248,TN_000036,1,1st Place (Champion),TM_00042,446262.42,45.0,1
PLC_0000249,TN_000036,2,2nd Place,TM_00086,198338.85,20.0,0
PLC_0000250,TN_000036,3,3rd Place,TM_00030,119003.31,12.0,0
PLC_0000251,TN_000036,4,4th Place,TM_00073,79335.54,8.0,0
PLC_0000252,TN_000036,5,5th Place,TM_00169,49584.71,5.0,0
PLC_0000253,TN_000037,1,1st Place (Champion),TM_00170,94149.72,45.0,1
PLC_0000254,TN_000037,2,2nd Place,TM_00064,41844.32,20.0,0
PLC_0000255,TN_000037,3,3rd Place,TM_00012,25106.59,12.0,0
PLC_0000256,TN_000037,4,4th Place,TM_00130,16737.73,8.0,0
PLC_0000257,TN_000037,5,5th Place,TM_00031,10461.08,5.0,0
PLC_0000258,TN_000037,6,6th Place,TM_00176,8368.86,4.0,0
PLC_0000259,TN_000037,7,7th Place,TM_00033,6276.65,3.0,0
PLC_0000260,TN_000038,1,1st Place (Champion),TM_00110,47923.5,45.0,1
PLC_0000261,TN_000038,2,2nd Place,TM_00135,21299.33,20.0,0
PLC_0000262,TN_000038,3,3rd Place,TM_00172,12779.6,12.0,0
PLC_0000263,TN_000038,4,4th Place,TM_00096,8519.73,8.0,0
PLC_0000264,TN_000038,5,5th Place,TM_00158,5324.83,5.0,0
PLC_0000265,TN_000038,6,6th Place,TM_00147,4259.87,4.0,0
PLC_0000266,TN_000038,7,7th Place,TM_00113,3194.9,3.0,0
PLC_0000267,TN_000039,1,1st Place (Champion),TM_00025,15515.75,45.0,1
PLC_0000268,TN_000039,2,2nd Place,TM_00177,6895.89,20.0,0
PLC_0000269,TN_000039,3,3rd Place,TM_00082,4137.53,12.0,0
PLC_0000270,TN_000039,4,4th Place,TM_00173,2758.36,8.0,0
PLC_0000271,TN_000039,5,5th Place,TM_00132,1723.97,5.0,0
PLC_0000272,TN_000040,1,1st Place (Champion),TM_00175,21434.26,45.0,1
PLC_0000273,TN_000040,2,2nd Place,TM_00104,9526.34,20.0,0
PLC_0000274,TN_000040,3,3rd Place,TM_00122,5715.8,12.0,0
PLC_0000275,TN_000040,4,4th Place,TM_00013,3810.54,8.0,0
PLC_0000276,TN_000040,5,5th Place,TM_00168,2381.59,5.0,0
PLC_0000277,TN_000041,1,1st Place (Champion),TM_00162,499145.55,45.0,1
PLC_0000278,TN_000041,2,2nd Place,TM_00160,221842.47,20.0,0
PLC_0000279,TN_000041,3,3rd Place,TM_00128,133105.48,12.0,0
PLC_0000280,TN_000041,4,4th Place,TM_00125,88736.99,8.0,0
PLC_0000281,TN_000041,5,5th Place,TM_00061,55460.62,5.0,0
PLC_0000282,TN_000041,6,6th Place,TM_00059,44368.49,4.0,0
PLC_0000283,TN_000041,7,7th Place,TM_00094,33276.37,3.0,0
PLC_0000284,TN_000042,1,1st Place (Champion),TM_00025,386989.46,45.0,1
PLC_0000285,TN_000042,2,2nd Place,TM_00082,171995.32,20.0,0
PLC_0000286,TN_000042,3,3rd Place,TM_00036,103197.19,12.0,0
PLC_0000287,TN_000042,4,4th Place,TM_00177,68798.13,8.0,0
PLC_0000288,TN_000042,5,5th Place,TM_00132,42998.83,5.0,0
PLC_0000289,TN_000042,6,6th Place,TM_00155,34399.06,4.0,0
PLC_0000290,TN_000042,7,7th Place,TM_00173,25799.3,3.0,0
PLC_0000291,TN_000043,1,1st Place (Champion),TM_00089,15464.4,45.0,1
PLC_0000292,TN_000043,2,2nd Place,TM_00080,6873.07,20.0,0
PLC_0000293,TN_000043,3,3rd Place,TM_00100,4123.84,12.0,0
PLC_0000294,TN_000043,4,4th Place,TM_00124,2749.23,8.0,0
PLC_0000295,TN_000043,5,5th Place,TM_00141,1718.27,5.0,0
PLC_0000296,TN_000043,6,6th Place,TM_00166,1374.61,4.0,0
PLC_0000297,TN_000043,7,7th Place,TM_00115,1030.96,3.0,0
PLC_0000298,TN_000044,1,1st Place (Champion),TM_00109,18242.13,45.0,1
PLC_0000299,TN_000044,2,2nd Place,TM_00138,8107.61,20.0,0
PLC_0000300,TN_000044,3,3rd Place,TM_00156,4864.57,12.0,0
PLC_0000301,TN_000044,4,4th Place,TM_00142,3243.04,8.0,0
PLC_0000302,TN_000044,5,5th Place,TM_00150,2026.9,5.0,0
PLC_0000303,TN_000044,6,6th Place,TM_00026,1621.52,4.0,0
PLC_0000304,TN_000044,7,7th Place,TM_00120,1216.14,3.0,0
PLC_0000305,TN_000044,8,8th Place,TM_00021,1216.14,3.0,0
PLC_0000306,TN_000045,1,1st Place (Champion),TM_00140,572289.18,45.0,1
PLC_0000307,TN_000045,2,2nd Place,TM_00119,254350.75,20.0,0
PLC_0000308,TN_000045,3,3rd Place,TM_00027,152610.45,12.0,0
PLC_0000309,TN_000045,4,4th Place,TM_00071,101740.3,8.0,0
PLC_0000310,TN_000045,5,5th Place,TM_00174,63587.69,5.0,0
PLC_0000311,TN_000045,6,6th Place,TM_00095,50870.15,4.0,0
PLC_0000312,TN_000045,7,7th Place,TM_00163,38152.61,3.0,0
PLC_0000313,TN_000046,1,1st Place (Champion),TM_00012,17412.93,45.0,1
PLC_0000314,TN_000046,2,2nd Place,TM_00170,7739.08,20.0,0
PLC_0000315,TN_000046,3,3rd Place,TM_00033,4643.45,12.0,0
PLC_0000316,TN_000046,4,4th Place,TM_00136,3095.63,8.0,0
PLC_0000317,TN_000046,5,5th Place,TM_00064,1934.77,5.0,0
PLC_0000318,TN_000046,6,6th Place,TM_00011,1547.82,4.0,0
PLC_0000319,TN_000046,7,7th Place,TM_00031,1160.86,3.0,0
PLC_0000320,TN_000047,1,1st Place (Champion),TM_00123,235253.03,45.0,1
PLC_0000321,TN_000047,2,2nd Place,TM_00060,104556.9,20.0,0
PLC_0000322,TN_000047,3,3rd Place,TM_00057,62734.14,12.0,0
PLC_0000323,TN_000047,4,4th Place,TM_00111,41822.76,8.0,0
PLC_0000324,TN_000047,5,5th Place,TM_00133,26139.23,5.0,0
PLC_0000325,TN_000048,1,1st Place (Champion),TM_00084,43735.59,45.0,1
PLC_0000326,TN_000048,2,2nd Place,TM_00127,19438.04,20.0,0
PLC_0000327,TN_000048,3,3rd Place,TM_00057,11662.83,12.0,0
PLC_0000328,TN_000048,4,4th Place,TM_00133,7775.22,8.0,0
PLC_0000329,TN_000048,5,5th Place,TM_00060,4859.51,5.0,0
PLC_0000330,TN_000048,6,6th Place,TM_00123,3887.61,4.0,0
PLC_0000331,TN_000048,7,7th Place,TM_00049,2915.71,3.0,0
PLC_0000332,TN_000049,1,1st Place (Champion),TM_00142,23874.09,45.0,1
PLC_0000333,TN_000049,2,2nd Place,TM_00068,10610.71,20.0,0
PLC_0000334,TN_000049,3,3rd Place,TM_00156,6366.42,12.0,0
PLC_0000335,TN_000049,4,4th Place,TM_00150,4244.28,8.0,0
PLC_0000336,TN_000049,5,5th Place,TM_00138,2652.68,5.0,0
PLC_0000337,TN_000050,1,1st Place (Champion),TM_00133,52901.24,45.0,1
PLC_0000338,TN_000050,2,2nd Place,TM_00127,23511.66,20.0,0
PLC_0000339,TN_000050,3,3rd Place,TM_00057,14107.0,12.0,0
PLC_0000340,TN_000050,4,4th Place,TM_00123,9404.66,8.0,0
PLC_0000341,TN_000050,5,5th Place,TM_00049,5877.92,5.0,0
PLC_0000342,TN_000050,6,6th Place,TM_00084,4702.33,4.0,0
PLC_0000343,TN_000050,7,7th Place,TM_00111,3526.75,3.0,0
PLC_0000344,TN_000051,1,1st Place (Champion),TM_00098,245855.72,45.0,1
PLC_0000345,TN_000051,2,2nd Place,TM_00161,109269.21,20.0,0
PLC_0000346,TN_000051,3,3rd Place,TM_00029,65561.52,12.0,0
PLC_0000347,TN_000051,4,4th Place,TM_00003,43707.68,8.0,0
PLC_0000348,TN_000051,5,5th Place,TM_00062,27317.3,5.0,0
PLC_0000349,TN_000051,6,6th Place,TM_00005,21853.84,4.0,0
PLC_0000350,TN_000051,7,7th Place,TM_00129,16390.38,3.0,0
PLC_0000351,TN_000051,8,8th Place,TM_00004,16390.38,3.0,0
PLC_0000352,TN_000052,1,1st Place (Champion),TM_00111,24030.48,45.0,1
PLC_0000353,TN_000052,2,2nd Place,TM_00084,10680.21,20.0,0
PLC_0000354,TN_000052,3,3rd Place,TM_00127,6408.13,12.0,0
PLC_0000355,TN_000052,4,4th Place,TM_00057,4272.08,8.0,0
PLC_0000356,TN_000052,5,5th Place,TM_00060,2670.05,5.0,0
PLC_0000357,TN_000052,6,6th Place,TM_00049,2136.04,4.0,0
